,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
0,GANGenerated,ID:0,XShortField,MayEnd,StrLenField,XShortField,ShortEnumField,IP6Field,LenField,FlagsField,LongField,XNBytesField,LenField,EnumField,XShortField,FlagsField,StrField,XBitField,Field,ByteField,LenField,StrField,StrLenField,ShortField,LongField,XIntField,XStrLenField,MayEnd,ShortField,UUIDField,IP6Field,IntEnumField,ByteEnumField,FlagsField,MACField,IntField,StrLenField,ShortEnumField,MACField,XShortField,StrField,BitEnumField,MACField,FieldLenField,SignedIntField,SignedIntField,XNBytesField,IP6Field,StrFixedLenField,ByteEnumField,,,,,,,,,,,,
1,GANGenerated,ID:1,FieldListField,XStrLenField,StrField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,GANGenerated,ID:2,UUIDField,SockAddrsField,FieldLenField,XByteField,LongField,IntEnumField,XShortField,EnumField,StrLenField,SignedIntField,FlagsField,XByteField,XIntField,XIntField,ShortField,StrField,SignedIntField,StrLenField,SignedIntField,PadField,MayEnd,ShortEnumField,ByteField,ByteField,BitField,IntEnumField,MACField,FieldLenField,MACField,StrField,XShortField,ShortField,XIntField,ByteEnumField,PadField,BitField,MayEnd,LongField,StrField,XBitField,Field,PadField,SignedIntField,BitEnumField,BitField,LongField,MayEnd,MayEnd,LenField,FlagsField,ShortEnumField,FieldLenField,MayEnd,XStrLenField,IntField,IntEnumField,BitEnumField,PadField,StrFixedLenField,UUIDField
3,GANGenerated,ID:3,EnumField,MayEnd,SockAddrsField,StrFixedLenField,LongField,IntEnumField,ShortEnumField,LongField,UUIDField,StrLenField,XShortField,ByteField,StrLenField,IntField,Field,MayEnd,MACField,ByteEnumField,XStrLenField,XIntField,XNBytesField,SockAddrsField,SignedIntField,LongField,XByteField,IP6Field,ShortField,SignedIntField,IntEnumField,ShortEnumField,LenField,XByteField,ByteField,FlagsField,StrField,IntField,MACField,Field,Field,PadField,IntEnumField,PadField,PadField,UUIDField,IntEnumField,FieldListField,UUIDField,EnumField,BitEnumField,XNBytesField,LongField,BitEnumField,SignedIntField,LongField,XShortField,SockAddrsField,MayEnd,FlagsField,SignedIntField,IntField
4,GANGenerated,ID:4,UUIDField,XNBytesField,ByteField,IntEnumField,ShortField,SignedIntField,Field,PadField,StrLenField,XIntField,XNBytesField,EnumField,XNBytesField,ByteEnumField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,GANGenerated,ID:5,StrFixedLenField,BitField,LongField,EnumField,StrField,IntEnumField,XIntField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,GANGenerated,ID:6,SignedIntField,FlagsField,XByteField,ShortEnumField,FieldLenField,SignedIntField,IP6Field,XNBytesField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GANGenerated,ID:7,XIntField,SignedIntField,EnumField,LenField,MACField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,GANGenerated,ID:8,ShortField,StrLenField,FieldLenField,EnumField,BitField,XByteField,BitField,XIntField,ShortField,ShortField,XShortField,XByteField,SignedIntField,XBitField,LongField,IP6Field,MACField,StrField,FieldListField,FlagsField,XShortField,UUIDField,StrFixedLenField,EnumField,FieldListField,XIntField,ShortField,ShortField,IntEnumField,FieldListField,EnumField,FlagsField,XShortField,PadField,SockAddrsField,IntField,StrLenField,EnumField,BitField,LenField,MayEnd,XIntField,SignedIntField,XShortField,IntEnumField,UUIDField,MayEnd,XStrLenField,XBitField,ByteField,ByteEnumField,ByteEnumField,MACField,SockAddrsField,ByteField,UUIDField,ByteEnumField,Field,BitEnumField,MayEnd
9,GANGenerated,ID:9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
