,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
0,Genetic2Generated,ID:0,ShortField,MayEnd,MayEnd,BitEnumField,MayEnd,ShortField,ShortField,ShortField,ShortField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Genetic2Generated,ID:1,XBitField,FieldLenField,BitEnumField,BitEnumField,BitEnumField,BitEnumField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Genetic2Generated,ID:2,MACField,XShortField,MACField,ByteEnumField,MACField,XShortField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Genetic2Generated,ID:3,IntField,IntField,XIntField,IntEnumField,IntEnumField,IntEnumField,IntEnumField,IntEnumField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Genetic2Generated,ID:4,XNBytesField,FieldLenField,XNBytesField,StrField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Genetic2Generated,ID:5,BitField,IntEnumField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Genetic2Generated,ID:6,FlagsField,FieldLenField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Genetic2Generated,ID:7,LenField,XByteField,XIntField,XByteField,MayEnd,XByteField,LongField,LongField,MayEnd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Genetic2Generated,ID:8,SignedIntField,SignedIntField,XStrLenField,XStrLenField,ShortField,ShortField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Genetic2Generated,ID:9,MayEnd,MayEnd,MayEnd,MayEnd,SockAddrsField,SockAddrsField,SockAddrsField,SockAddrsField,SockAddrsField,SockAddrsField,SockAddrsField,SockAddrsField,SockAddrsField,SockAddrsField,SockAddrsField,SockAddrsField,SockAddrsField,SockAddrsField,SockAddrsField,SockAddrsField,FlagsField,StrFixedLenField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Genetic2Generated,ID:10,StrField,PadField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Genetic2Generated,ID:11,XIntField,XIntField,EnumField,IntField,XIntField,IntField,XIntField,XIntField,XIntField,ByteField,IntField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Genetic2Generated,ID:12,FlagsField,FlagsField,FlagsField,FlagsField,XByteField,FlagsField,FlagsField,FlagsField,FlagsField,FlagsField,FlagsField,FlagsField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Genetic2Generated,ID:13,StrField,StrField,MayEnd,MayEnd,FieldLenField,MayEnd,MayEnd,UUIDField,FlagsField,IntField,IntField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Genetic2Generated,ID:14,FlagsField,FlagsField,XByteField,XByteField,XIntField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Genetic2Generated,ID:15,Field,Field,UUIDField,Field,Field,Field,Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Genetic2Generated,ID:16,FlagsField,UUIDField,IntField,FlagsField,UUIDField,ByteEnumField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Genetic2Generated,ID:17,SignedIntField,SignedIntField,IntField,SignedIntField,IntField,IntField,IntField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Genetic2Generated,ID:18,ByteEnumField,EnumField,EnumField,EnumField,EnumField,EnumField,IntEnumField,EnumField,EnumField,EnumField,EnumField,EnumField,EnumField,IntEnumField,IntEnumField,EnumField,EnumField,EnumField,EnumField,EnumField,EnumField,EnumField,EnumField,EnumField,EnumField,EnumField,EnumField,EnumField,EnumField,EnumField,EnumField,EnumField,EnumField,EnumField,EnumField,EnumField,EnumField,EnumField,EnumField,EnumField,EnumField,EnumField,EnumField,EnumField,EnumField,EnumField,EnumField,EnumField,EnumField,EnumField,EnumField,EnumField,EnumField,EnumField,EnumField
19,Genetic2Generated,ID:19,FlagsField,FlagsField,FlagsField,FlagsField,XStrLenField,IntEnumField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Genetic2Generated,ID:20,SignedIntField,IP6Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Genetic2Generated,ID:21,Field,XBitField,XBitField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Genetic2Generated,ID:22,MACField,StrField,StrField,StrField,StrField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Genetic2Generated,ID:23,BitEnumField,XBitField,XBitField,BitEnumField,BitEnumField,BitEnumField,ShortField,ByteField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Genetic2Generated,ID:24,Field,Field,PadField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Genetic2Generated,ID:25,ShortEnumField,FieldLenField,ShortEnumField,MayEnd,XBitField,ByteEnumField,BitField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Genetic2Generated,ID:26,IntField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Genetic2Generated,ID:27,XStrLenField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Genetic2Generated,ID:28,BitField,FieldLenField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Genetic2Generated,ID:29,LenField,LenField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Genetic2Generated,ID:30,MayEnd,MayEnd,FieldLenField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Genetic2Generated,ID:31,FieldListField,XStrLenField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Genetic2Generated,ID:32,FieldListField,FieldListField,ByteField,ShortField,BitEnumField,ShortEnumField,XIntField,ShortEnumField,ShortEnumField,ShortField,ShortField,ShortField,ShortField,ShortEnumField,ShortEnumField,ShortEnumField,ShortEnumField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Genetic2Generated,ID:33,XBitField,XBitField,XBitField,XBitField,XBitField,ShortEnumField,ShortEnumField,ShortEnumField,ShortEnumField,FieldListField,EnumField,EnumField,EnumField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Genetic2Generated,ID:34,StrFixedLenField,StrFixedLenField,IP6Field,StrFixedLenField,StrFixedLenField,IP6Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Genetic2Generated,ID:35,ByteEnumField,EnumField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Genetic2Generated,ID:36,ByteEnumField,BitEnumField,StrFixedLenField,ByteField,PadField,ByteField,ByteField,PadField,PadField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Genetic2Generated,ID:37,SignedIntField,SignedIntField,FieldLenField,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
