,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,GeneticGenerated,ID:0,BitField,BitField,ByteField,BitField,,,,,,,,,,,,,,,,,,,,,,,,
1,GeneticGenerated,ID:1,XBitField,ByteEnumField,,,,,,,,,,,,,,,,,,,,,,,,,,
2,GeneticGenerated,ID:2,PadField,FieldLenField,XShortField,,,,,,,,,,,,,,,,,,,,,,,,,
3,GeneticGenerated,ID:3,ShortField,XIntField,BitField,ByteEnumField,BitField,,,,,,,,,,,,,,,,,,,,,,,
4,GeneticGenerated,ID:4,ShortField,IntField,,,,,,,,,,,,,,,,,,,,,,,,,,
5,GeneticGenerated,ID:5,ByteEnumField,FlagsField,ShortField,IntField,ShortEnumField,ByteEnumField,ShortEnumField,XBitField,,,,,,,,,,,,,,,,,,,,
6,GeneticGenerated,ID:6,ByteEnumField,ByteField,XIntField,ByteField,ShortField,ByteField,ByteField,StrFixedLenField,XIntField,StrFixedLenField,,,,,,,,,,,,,,,,,,
7,GeneticGenerated,ID:7,BitField,ByteField,BitField,BitField,,,,,,,,,,,,,,,,,,,,,,,,
8,GeneticGenerated,ID:8,LongField,IntField,LongField,IntField,IntEnumField,IntField,IntEnumField,IntField,IntField,IntField,IntEnumField,SignedIntField,IntEnumField,SignedIntField,,,,,,,,,,,,,,
9,GeneticGenerated,ID:9,ByteField,IP6Field,ByteField,ByteField,ByteEnumField,,,,,,,,,,,,,,,,,,,,,,,
10,GeneticGenerated,ID:10,ByteField,ByteField,ByteField,ByteField,ByteField,MACField,StrFixedLenField,,,,,,,,,,,,,,,,,,,,,
11,GeneticGenerated,ID:11,XIntField,ByteEnumField,ShortEnumField,ShortEnumField,XShortField,LenField,ByteEnumField,XShortField,,,,,,,,,,,,,,,,,,,,
12,GeneticGenerated,ID:12,MACField,MACField,ByteField,ByteEnumField,,,,,,,,,,,,,,,,,,,,,,,,
13,GeneticGenerated,ID:13,XStrLenField,FieldLenField,ByteEnumField,,,,,,,,,,,,,,,,,,,,,,,,,
14,GeneticGenerated,ID:14,ShortField,ByteEnumField,,,,,,,,,,,,,,,,,,,,,,,,,,
15,GeneticGenerated,ID:15,FlagsField,ByteField,BitField,ShortField,,,,,,,,,,,,,,,,,,,,,,,,
16,GeneticGenerated,ID:16,XByteField,XShortField,XShortField,,,,,,,,,,,,,,,,,,,,,,,,,
17,GeneticGenerated,ID:17,XByteField,ByteField,ByteEnumField,,,,,,,,,,,,,,,,,,,,,,,,,
18,GeneticGenerated,ID:18,ByteField,BitField,ByteEnumField,BitField,BitField,BitField,,,,,,,,,,,,,,,,,,,,,,
19,GeneticGenerated,ID:19,StrFixedLenField,ByteEnumField,,,,,,,,,,,,,,,,,,,,,,,,,,
20,GeneticGenerated,ID:20,BitField,BitField,ShortField,BitField,BitEnumField,BitField,BitField,,,,,,,,,,,,,,,,,,,,,
21,GeneticGenerated,ID:21,ByteEnumField,IP6Field,IP6Field,ByteField,,,,,,,,,,,,,,,,,,,,,,,,
22,GeneticGenerated,ID:22,ShortField,ShortEnumField,StrLenField,,,,,,,,,,,,,,,,,,,,,,,,,
23,GeneticGenerated,ID:23,FieldLenField,EnumField,StrLenField,PadField,XStrLenField,IP6Field,,,,,,,,,,,,,,,,,,,,,,
24,GeneticGenerated,ID:24,ByteEnumField,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,GeneticGenerated,ID:25,StrLenField,ShortEnumField,FieldLenField,ShortEnumField,XIntField,XShortField,,,,,,,,,,,,,,,,,,,,,,
26,GeneticGenerated,ID:26,StrLenField,FieldLenField,ByteEnumField,StrLenField,FieldLenField,,,,,,,,,,,,,,,,,,,,,,,
27,GeneticGenerated,ID:27,LenField,Field,EnumField,Field,FlagsField,,,,,,,,,,,,,,,,,,,,,,,
28,GeneticGenerated,ID:28,ShortEnumField,XIntField,XShortField,,,,,,,,,,,,,,,,,,,,,,,,,
29,GeneticGenerated,ID:29,StrLenField,ByteEnumField,FieldLenField,BitField,IntField,BitField,,,,,,,,,,,,,,,,,,,,,,
30,GeneticGenerated,ID:30,ByteEnumField,IntField,XIntField,ByteEnumField,ShortEnumField,FlagsField,ShortField,IntField,IntField,,,,,,,,,,,,,,,,,,,
31,GeneticGenerated,ID:31,ShortField,ByteEnumField,ByteEnumField,ByteField,ByteField,XByteField,XStrLenField,FieldLenField,StrLenField,,,,,,,,,,,,,,,,,,,
32,GeneticGenerated,ID:32,ByteField,ByteField,ByteField,StrField,,,,,,,,,,,,,,,,,,,,,,,,
33,GeneticGenerated,ID:33,ShortField,XByteField,ByteEnumField,XIntField,,,,,,,,,,,,,,,,,,,,,,,,
34,GeneticGenerated,ID:34,ByteField,ByteField,ByteField,Field,Field,Field,Field,Field,Field,Field,Field,Field,Field,Field,Field,Field,Field,ByteField,StrFixedLenField,Field,FlagsField,Field,,,,,,
35,GeneticGenerated,ID:35,ByteField,BitField,IntField,BitField,BitField,ByteField,BitField,IP6Field,,,,,,,,,,,,,,,,,,,,
36,GeneticGenerated,ID:36,BitField,BitField,,,,,,,,,,,,,,,,,,,,,,,,,,
37,GeneticGenerated,ID:37,StrLenField,FieldLenField,ShortEnumField,ByteEnumField,FieldLenField,StrLenField,IntField,ByteEnumField,,,,,,,,,,,,,,,,,,,,
38,GeneticGenerated,ID:38,XByteField,XByteField,XByteField,FlagsField,XByteField,XByteField,ByteField,XByteField,XByteField,XByteField,XShortField,StrLenField,,,,,,,,,,,,,,,,
39,GeneticGenerated,ID:39,IP6Field,ByteField,BitField,BitField,BitField,IntField,BitField,ByteField,,,,,,,,,,,,,,,,,,,,
40,GeneticGenerated,ID:40,PadField,XByteField,FieldLenField,ByteEnumField,,,,,,,,,,,,,,,,,,,,,,,,
41,GeneticGenerated,ID:41,StrFixedLenField,StrFixedLenField,XByteField,,,,,,,,,,,,,,,,,,,,,,,,,
42,GeneticGenerated,ID:42,StrFixedLenField,StrFixedLenField,,,,,,,,,,,,,,,,,,,,,,,,,,
43,GeneticGenerated,ID:43,ByteEnumField,IntField,ShortField,ByteEnumField,,,,,,,,,,,,,,,,,,,,,,,,
44,GeneticGenerated,ID:44,ByteField,ShortField,,,,,,,,,,,,,,,,,,,,,,,,,,
45,GeneticGenerated,ID:45,BitEnumField,ByteEnumField,,,,,,,,,,,,,,,,,,,,,,,,,,
46,GeneticGenerated,ID:46,XNBytesField,ShortField,XShortField,,,,,,,,,,,,,,,,,,,,,,,,,
47,GeneticGenerated,ID:47,ShortEnumField,ShortEnumField,XShortField,ByteEnumField,XShortField,ByteEnumField,LenField,XIntField,,,,,,,,,,,,,,,,,,,,
48,GeneticGenerated,ID:48,XIntField,XIntField,XIntField,,,,,,,,,,,,,,,,,,,,,,,,,
49,GeneticGenerated,ID:49,ByteField,ByteField,IntField,ByteField,ByteField,,,,,,,,,,,,,,,,,,,,,,,
50,GeneticGenerated,ID:50,LenField,ShortEnumField,XIntField,ShortEnumField,IntField,XShortField,,,,,,,,,,,,,,,,,,,,,,
51,GeneticGenerated,ID:51,IntField,ShortEnumField,ShortField,,,,,,,,,,,,,,,,,,,,,,,,,
52,GeneticGenerated,ID:52,FlagsField,EnumField,LenField,Field,Field,,,,,,,,,,,,,,,,,,,,,,,
53,GeneticGenerated,ID:53,IntField,IntField,,,,,,,,,,,,,,,,,,,,,,,,,,
54,GeneticGenerated,ID:54,BitField,BitField,XBitField,BitField,BitField,ShortField,ByteEnumField,,,,,,,,,,,,,,,,,,,,,
55,GeneticGenerated,ID:55,SignedIntField,SignedIntField,SignedIntField,SignedIntField,,,,,,,,,,,,,,,,,,,,,,,,
