Model,Entropy,Length
Genetic,1.0,2
Genetic,1.0,2
Genetic,0.0,15
Genetic,1.2516291673878228,6
Genetic,1.0,2
Genetic,2.4508257945180882,12
Genetic,1.0,4
Genetic,2.2359263506290326,7
Genetic,1.0,2
Genetic,1.4591479170272448,6
Genetic,0.0,1
Genetic,2.0,4
Genetic,1.584962500721156,3
Genetic,1.5,4
Genetic,0.9182958340544896,3
Genetic,1.584962500721156,3
Genetic,0.0,1
Genetic,0.0,4
Genetic,0.9182958340544896,3
Genetic,1.0,2
Genetic,0.0,3
Genetic,1.0,4
Genetic,2.130926080730337,17
Genetic,1.9219280948873623,5
Genetic,1.1867043459100246,22
Genetic,2.2516291673878226,6
Genetic,1.584962500721156,3
Genetic,0.9182958340544896,3
Genetic,0.0,1
Genetic,1.75,8
Genetic,2.0,4
Genetic,0.0,1
Genetic,1.584962500721156,3
Genetic,1.7924812503605778,6
Genetic,1.584962500721156,3
Genetic,1.9219280948873623,5
Genetic,1.9219280948873623,5
Genetic,1.1867043459100246,22
Genetic,0.0,3
Genetic,1.5219280948873621,5
Genetic,1.0,2
Genetic,1.5,4
Genetic,1.5,4
Genetic,1.584962500721156,3
Genetic,1.5219280948873621,5
Genetic,1.584962500721156,3
Genetic,1.0,2
Genetic,1.9219280948873623,5
Genetic,0.6500224216483541,6
Genetic,1.0,2
Genetic,0.5916727785823275,7
Genetic,0.8112781244591328,4
Genetic,1.2406705316766884,11
Genetic,0.9182958340544896,3
Genetic,1.584962500721156,3
Genetic,1.584962500721156,3
Genetic,0.8112781244591328,8
Genetic,1.9219280948873623,5
Genetic,1.584962500721156,3
Genetic,1.584962500721156,3
Genetic,2.584962500721156,6
Genetic,1.584962500721156,3
Genetic,1.9219280948873623,5
Genetic,1.0,2
Genetic,1.3787834934861753,7
Genetic,1.8423709931771084,7
Genetic,1.75,8
Genetic,0.8112781244591328,4
Genetic,1.584962500721156,3
Genetic,1.584962500721156,3
Genetic,0.8112781244591328,4
Genetic,0.9182958340544896,3
Genetic,2.5,8
Genetic,0.41381685030363374,12
Genetic,1.5,4
Genetic,2.0,4
Genetic,1.9219280948873623,5
Genetic,2.584962500721156,6
Genetic,0.0,1
Genetic,1.2806721295208872,12
Genetic,1.9219280948873623,5
Genetic,0.41381685030363374,12
Genetic,2.4193819456463714,9
Genetic,0.0,1
Genetic,2.0,4
Genetic,1.5,4
Genetic,1.7924812503605778,6
Genetic,1.0,2
Genetic,1.584962500721156,3
Genetic,1.7924812503605778,6
Genetic,2.2516291673878226,6
Genetic,1.0,2
Genetic,1.584962500721156,3
Genetic,1.2516291673878228,6
Genetic,1.0,2
Genetic,1.0,2
Genetic,1.9219280948873623,5
Genetic,0.0,1
Genetic,1.143320102127766,22
Genetic,1.584962500721156,3
Genetic,0.8112781244591328,8
Genetic,1.5,4
Genetic,1.8423709931771084,7
Genetic,2.2516291673878226,6
Genetic,1.5,4
Genetic,1.584962500721156,3
Genetic,1.0,2
Genetic,1.584962500721156,3
Genetic,1.584962500721156,3
Genetic,1.224394445405986,9
Genetic,2.5216406363433186,7
Genetic,0.0,1
Genetic,1.584962500721156,3
Genetic,1.792481250360578,6
Genetic,1.0,2
Genetic,2.4193819456463714,9
Genetic,2.0,4
Genetic,1.9219280948873623,5
Genetic,2.1280852788913944,7
Genetic,1.1488348542809166,7
Genetic,0.0,3
Genetic,1.584962500721156,3
Genetic,0.8112781244591328,8
Genetic,1.9219280948873623,5
Genetic,1.0,2
Genetic,1.9219280948873623,5
Genetic,2.1180782093497093,11
Genetic,1.584962500721156,3
Genetic,1.584962500721156,3
Genetic,0.39124356362925566,13
Genetic,2.418295834054489,12
Genetic,0.0,2
Genetic,1.224394445405986,9
Genetic,1.0,2
Genetic,1.0,2
Genetic,1.584962500721156,3
Genetic,0.0,3
Genetic,1.584962500721156,3
Genetic,0.9132829641650988,19
Genetic,0.9709505944546686,5
Genetic,1.0,2
Genetic,0.9182958340544896,3
Genetic,1.5566567074628228,7
Genetic,1.3516441151533922,9
Genetic,1.0,2
Genetic,1.0,2
Genetic,1.7924812503605778,6
Genetic,1.584962500721156,3
Genetic,1.5219280948873621,5
Genetic,2.2359263506290326,7
Genetic,1.5,4
Genetic,1.9182958340544893,6
Genetic,1.0,2
Genetic,0.9709505944546686,5
Genetic,1.9219280948873623,5
Genetic,1.584962500721156,3
Genetic,0.0,1
Genetic,1.5,4
Genetic,1.4591479170272448,6
Genetic,2.5216406363433186,7
Genetic,1.5,4
Genetic,0.9182958340544896,3
Genetic,2.0,4
Genetic,2.130926080730337,17
Genetic,0.7219280948873623,5
Genetic,1.9056390622295665,8
Genetic,1.1488348542809166,7
Genetic,1.5219280948873621,5
Genetic,2.3685225277282065,11
Genetic,1.75,8
Genetic,0.8112781244591328,4
Genetic,2.25,8
Genetic,1.0,2
Genetic,0.0,2
Genetic,1.9219280948873623,5
Genetic,1.584962500721156,3
Genetic,1.0,2
Genetic,2.4193819456463714,9
Genetic,1.5,4
Genetic,2.25,8
Genetic,0.0,10
Genetic,1.75,8
Genetic,2.418295834054489,12
Genetic,1.578897902987479,20
Genetic,1.0,2
Genetic,0.9182958340544896,3
Genetic,0.0,1
Genetic,1.6644977792004614,7
Genetic,0.9182958340544896,3
Genetic,1.584962500721156,3
Genetic,2.0,4
Genetic,0.9182958340544896,3
Genetic,1.9219280948873623,5
Genetic,1.0,2
Genetic,0.9182958340544896,3
Genetic,1.5566567074628228,7
Genetic,2.321928094887362,5
Genetic,1.9219280948873623,5
Genetic,2.2516291673878226,6
Genetic,1.584962500721156,3
Genetic,1.6140054628542202,12
Genetic,1.0,2
Genetic,1.0,2
Genetic,2.1280852788913944,7
Genetic,1.3709505944546687,5
Genetic,1.4056390622295665,8
Genetic,2.5216406363433186,7
Genetic,2.584962500721156,6
Genetic,1.8423709931771084,7
Genetic,2.0,4
Genetic,2.2516291673878226,6
Genetic,1.0,2
Genetic,1.9219280948873623,5
Genetic,1.5,4
Genetic,2.3685225277282065,11
Genetic,0.8112781244591328,4
Genetic,0.9182958340544896,3
Genetic,1.584962500721156,3
Genetic,1.0,2
Genetic,1.4911148500551858,11
Genetic,0.0,1
Genetic,1.3787834934861753,7
Genetic,0.0,1
Genetic,2.725480556997868,9
Genetic,1.3709505944546687,5
Genetic,2.4193819456463714,9
Genetic,0.9182958340544896,3
Genetic,1.0,2
Genetic,1.5219280948873621,5
Genetic,0.0,1
Genetic,0.0,1
Genetic,1.9219280948873623,5
Genetic,1.584962500721156,3
Genetic,1.5219280948873621,5
Genetic,0.9182958340544896,3
Genetic,2.2516291673878226,6
Genetic,2.0,4
Genetic,0.8112781244591328,4
Genetic,1.7924812503605778,6
Genetic,1.4591479170272446,6
Genetic,0.0,11
Genetic,1.9182958340544893,6
Genetic,1.0,4
Genetic,2.1280852788913944,7
