Model,Regularisation,Round,Score
Genetic,0.0,0,0.001
Genetic,0.0,1,0.002
Genetic,0.0,2,0.001
Genetic,0.0,3,0.001
Genetic,0.0,4,0.001
Genetic,0.0,5,0.001
Genetic,0.0,6,0.001
Genetic,0.0,7,0.001
Genetic,0.0,8,0.001
Genetic,0.0,9,0.001
Genetic,0.0,10,0.001
Genetic,0.0,11,0.001
Genetic,0.0,12,0.001
Genetic,0.0,13,0.001
Genetic,0.0,14,0.001
Genetic,0.0,15,0.001
Genetic,0.0,16,0.001
Genetic,0.0,17,0.001
Genetic,0.0,18,0.001
Genetic,0.0,19,0.001
Genetic,0.0,20,0.001
Genetic,0.0,21,0.001
Genetic,0.0,22,0.001
Genetic,0.0,23,0.001
Genetic,0.0,24,0.001
Genetic,0.0,25,0.001
Genetic,0.0,26,0.001
Genetic,0.0,27,0.001
Genetic,0.0,28,0.001
Genetic,0.0,29,0.001
Genetic,0.0,30,0.001
Genetic,0.0,31,0.001
Genetic,0.0,32,0.001
Genetic,0.0,33,0.001
Genetic,0.0,34,0.001
Genetic,0.0,35,0.001
Genetic,0.0,36,0.001
Genetic,0.0,37,0.001
Genetic,0.0,38,0.001
Genetic,0.0,39,0.001
Genetic,0.0,40,0.001
Genetic,0.0,41,0.001
Genetic,0.0,42,0.001
Genetic,0.0,43,0.001
Genetic,0.0,44,0.001
Genetic,0.0,45,0.001
Genetic,0.0,46,0.001
Genetic,0.0,47,0.001
Genetic,0.0,48,0.001
Genetic,0.0,49,0.001
Genetic,1.0,0,0.5677350427350427
Genetic,1.0,1,0.5721880341880342
Genetic,1.0,2,0.5506410256410257
Genetic,1.0,3,0.5821880341880342
Genetic,1.0,4,0.5531880341880342
Genetic,1.0,5,0.5721880341880342
Genetic,1.0,6,0.5576410256410257
Genetic,1.0,7,0.5686410256410257
Genetic,1.0,8,0.5766410256410257
Genetic,1.0,9,0.5561880341880342
Genetic,1.0,10,0.5852820512820514
Genetic,1.0,11,0.5661880341880342
Genetic,1.0,12,0.5556410256410257
Genetic,1.0,13,0.5571880341880342
Genetic,1.0,14,0.5666410256410257
Genetic,1.0,15,0.5721880341880342
Genetic,1.0,16,0.5636410256410257
Genetic,1.0,17,0.5736410256410257
Genetic,1.0,18,0.5796410256410257
Genetic,1.0,19,0.6091880341880341
Genetic,1.0,20,0.5861880341880342
Genetic,1.0,21,0.5811880341880342
Genetic,1.0,22,0.5726410256410257
Genetic,1.0,23,0.5897350427350427
Genetic,1.0,24,0.5687350427350427
Genetic,1.0,25,0.5907350427350427
Genetic,1.0,26,0.5741880341880342
Genetic,1.0,27,0.5761880341880342
Genetic,1.0,28,0.5941880341880342
Genetic,1.0,29,0.5561880341880342
Genetic,1.0,30,0.5751880341880342
Genetic,1.0,31,0.5921880341880342
Genetic,1.0,32,0.5631880341880342
Genetic,1.0,33,0.5621880341880342
Genetic,1.0,34,0.5586410256410257
Genetic,1.0,35,0.5536410256410257
Genetic,1.0,36,0.5691880341880342
Genetic,1.0,37,0.5857350427350427
Genetic,1.0,38,0.5977350427350427
Genetic,1.0,39,0.5636410256410257
Genetic,1.0,40,0.5761880341880342
Genetic,1.0,41,0.6111880341880341
Genetic,1.0,42,0.5856410256410257
Genetic,1.0,43,0.5496410256410257
Genetic,1.0,44,0.5811880341880342
Genetic,1.0,45,0.5876410256410257
Genetic,1.0,46,0.5681880341880342
Genetic,1.0,47,0.5691880341880342
Genetic,1.0,48,0.5706410256410257
Genetic,1.0,49,0.5831880341880342
Genetic,2.0,0,0.5695470085470086
Genetic,2.0,1,0.544
Genetic,2.0,2,0.5175470085470085
Genetic,2.0,3,0.561
Genetic,2.0,4,0.521
Genetic,2.0,5,0.511
Genetic,2.0,6,0.539
Genetic,2.0,7,0.553
Genetic,2.0,8,0.53
Genetic,2.0,9,0.5400940170940172
Genetic,2.0,10,0.5430940170940172
Genetic,2.0,11,0.548
Genetic,2.0,12,0.555
Genetic,2.0,13,0.542
Genetic,2.0,14,0.531
Genetic,2.0,15,0.564
Genetic,2.0,16,0.545
Genetic,2.0,17,0.576
Genetic,2.0,18,0.5515470085470086
Genetic,2.0,19,0.5420940170940172
Genetic,2.0,20,0.555
Genetic,2.0,21,0.489
Genetic,2.0,22,0.5565470085470086
Genetic,2.0,23,0.575
Genetic,2.0,24,0.546
Genetic,2.0,25,0.557
Genetic,2.0,26,0.5745470085470085
Genetic,2.0,27,0.534
Genetic,2.0,28,0.5575470085470086
Genetic,2.0,29,0.552
Genetic,2.0,30,0.555
Genetic,2.0,31,0.527
Genetic,2.0,32,0.55
Genetic,2.0,33,0.5285470085470085
Genetic,2.0,34,0.5485470085470086
Genetic,2.0,35,0.531
Genetic,2.0,36,0.5595470085470086
Genetic,2.0,37,0.552
Genetic,2.0,38,0.5465470085470086
Genetic,2.0,39,0.527
Genetic,2.0,40,0.5485470085470086
Genetic,2.0,41,0.56
Genetic,2.0,42,0.5485470085470086
Genetic,2.0,43,0.558
Genetic,2.0,44,0.532
Genetic,2.0,45,0.526
Genetic,2.0,46,0.5535470085470086
Genetic,2.0,47,0.545
Genetic,2.0,48,0.5695470085470086
Genetic,2.0,49,0.533
Genetic,3.0,0,0.6761880341880342
Genetic,3.0,1,0.6731880341880342
Genetic,3.0,2,0.6681880341880342
Genetic,3.0,3,0.6601880341880342
Genetic,3.0,4,0.6917350427350427
Genetic,3.0,5,0.6767350427350427
Genetic,3.0,6,0.6590940170940172
Genetic,3.0,7,0.6551880341880342
Genetic,3.0,8,0.6747350427350427
Genetic,3.0,9,0.6701880341880342
Genetic,3.0,10,0.6661880341880342
Genetic,3.0,11,0.6831880341880342
Genetic,3.0,12,0.6851880341880342
Genetic,3.0,13,0.6676410256410257
Genetic,3.0,14,0.6681880341880342
Genetic,3.0,15,0.6656410256410257
